language_pair,classification
hun_Latn-ina_Latn,4-1
hun_Latn-jav_Latn,4-1
hun_Latn-kab_Latn,4-1
hun_Latn-kan_Knda,4-1
hun_Latn-khk_Cyrl,4-1
hun_Latn-khm_Khmr,4-1
hun_Latn-kin_Latn,4-1
hun_Latn-kir_Cyrl,4-1
hun_Latn-kmr_Latn,4-1
hun_Latn-lim_Latn,4-1
hun_Latn-ltz_Latn,4-1
hun_Latn-lzh_Hani,4-1
hun_Latn-mal_Mlym,4-1
hun_Latn-mhr_Cyrl,4-1
hun_Latn-mkd_Cyrl,4-1
hun_Latn-mlg_Latn,4-1
hun_Latn-mon_Cyrl,4-1
hun_Latn-mri_Latn,4-1
hun_Latn-mya_Mymr,4-1
hun_Latn-nap_Latn,4-1
hun_Latn-nep_Deva,4-1
hun_Latn-nno_Latn,4-1
hun_Latn-nob_Latn,4-1
hun_Latn-nor_Latn,4-1
hun_Latn-npi_Deva,4-1
hun_Latn-nya_Latn,4-1
hun_Latn-oci_Latn,4-1
hun_Latn-pap_Latn,4-1
hun_Latn-pbt_Arab,4-1
hun_Latn-plt_Latn,4-1
hun_Latn-pus_Arab,4-1
hun_Latn-rmy_Latn,4-1
hun_Latn-scn_Latn,4-1
hun_Latn-sin_Sinh,4-1
hun_Latn-sna_Latn,4-1
hun_Latn-snd_Arab,4-1
hun_Latn-som_Latn,4-1
hun_Latn-sqi_Latn,4-1
hun_Latn-srd_Latn,4-1
hun_Latn-sun_Latn,4-1
hun_Latn-swc_Latn,4-1
hun_Latn-tat_Cyrl,4-1
hun_Latn-tel_Telu,4-1
hun_Latn-tgk_Cyrl,4-1
hun_Latn-vec_Latn,4-1
hun_Latn-wln_Latn,4-1
hun_Latn-yue_Hani,4-1
ita_Latn-abk_Cyrl,4-1
ita_Latn-azj_Latn,4-1
ita_Latn-bak_Cyrl,4-1
ita_Latn-ckb_Arab,4-1
ita_Latn-crh_Latn,4-1
ita_Latn-epo_Latn,4-1
ita_Latn-fur_Latn,4-1
ita_Latn-hbs_Latn,4-1
ita_Latn-ilo_Latn,4-1
ita_Latn-ina_Latn,4-1
ita_Latn-jav_Latn,4-1
ita_Latn-kab_Latn,4-1
ita_Latn-kan_Knda,4-1
ita_Latn-kea_Latn,4-1
ita_Latn-khk_Cyrl,4-1
ita_Latn-khm_Khmr,4-1
ita_Latn-kin_Latn,4-1
ita_Latn-kir_Cyrl,4-1
ita_Latn-kmr_Latn,4-1
ita_Latn-lim_Latn,4-1
ita_Latn-ltz_Latn,4-1
ita_Latn-lzh_Hani,4-1
ita_Latn-mal_Mlym,4-1
ita_Latn-mhr_Cyrl,4-1
ita_Latn-mkd_Cyrl,4-1
ita_Latn-mlg_Latn,4-1
ita_Latn-mon_Cyrl,4-1
ita_Latn-mri_Latn,4-1
ita_Latn-mya_Mymr,4-1
ita_Latn-nep_Deva,4-1
ita_Latn-nno_Latn,4-1
ita_Latn-nob_Latn,4-1
ita_Latn-nor_Latn,4-1
ita_Latn-npi_Deva,4-1
ita_Latn-nya_Latn,4-1
ita_Latn-oci_Latn,4-1
ita_Latn-pap_Latn,4-1
ita_Latn-pbt_Arab,4-1
ita_Latn-plt_Latn,4-1
ita_Latn-pus_Arab,4-1
ita_Latn-rmy_Latn,4-1
ita_Latn-sin_Sinh,4-1
ita_Latn-sna_Latn,4-1
ita_Latn-snd_Arab,4-1
ita_Latn-som_Latn,4-1
ita_Latn-sqi_Latn,4-1
ita_Latn-srd_Latn,4-1
ita_Latn-sun_Latn,4-1
ita_Latn-swc_Latn,4-1
ita_Latn-tat_Cyrl,4-1
ita_Latn-tel_Telu,4-1
ita_Latn-tgk_Cyrl,4-1
ita_Latn-vec_Latn,4-1
ita_Latn-wuu_Hani,4-1
ita_Latn-yue_Hani,4-1
kor_Hang-abk_Cyrl,4-1
kor_Hang-bak_Cyrl,4-1
kor_Hang-ckb_Arab,4-1
kor_Hang-fur_Latn,4-1
kor_Hang-hbs_Latn,4-1
kor_Hang-kab_Latn,4-1
kor_Hang-khk_Cyrl,4-1
kor_Hang-kir_Cyrl,4-1
kor_Hang-kmr_Latn,4-1
kor_Hang-lim_Latn,4-1
kor_Hang-ltz_Latn,4-1
kor_Hang-lzh_Hani,4-1
kor_Hang-mal_Mlym,4-1
kor_Hang-mkd_Cyrl,4-1
kor_Hang-mlg_Latn,4-1
kor_Hang-mon_Cyrl,4-1
kor_Hang-mri_Latn,4-1
kor_Hang-mya_Mymr,4-1
kor_Hang-nep_Deva,4-1
kor_Hang-nno_Latn,4-1
kor_Hang-nob_Latn,4-1
kor_Hang-nor_Latn,4-1
kor_Hang-npi_Deva,4-1
kor_Hang-oci_Latn,4-1
kor_Hang-plt_Latn,4-1
kor_Hang-sin_Sinh,4-1
kor_Hang-snd_Arab,4-1
kor_Hang-som_Latn,4-1
kor_Hang-sqi_Latn,4-1
kor_Hang-srd_Latn,4-1
kor_Hang-sun_Latn,4-1
kor_Hang-swc_Latn,4-1
kor_Hang-tat_Cyrl,4-1
kor_Hang-tel_Telu,4-1
kor_Hang-tgk_Cyrl,4-1
kor_Hang-yue_Hani,4-1
nld_Latn-abk_Cyrl,4-1
nld_Latn-azj_Latn,4-1
nld_Latn-bak_Cyrl,4-1
nld_Latn-crh_Latn,4-1
nld_Latn-epo_Latn,4-1
nld_Latn-fur_Latn,4-1
nld_Latn-hbs_Latn,4-1
nld_Latn-ilo_Latn,4-1
nld_Latn-ina_Latn,4-1
nld_Latn-kab_Latn,4-1
nld_Latn-kin_Latn,4-1
nld_Latn-lzh_Hani,4-1
nld_Latn-mhr_Cyrl,4-1
nld_Latn-mkd_Cyrl,4-1
nld_Latn-nno_Latn,4-1
nld_Latn-nob_Latn,4-1
nld_Latn-nor_Latn,4-1
nld_Latn-nso_Latn,4-1
nld_Latn-nya_Latn,4-1
nld_Latn-oci_Latn,4-1
nld_Latn-pap_Latn,4-1
nld_Latn-pbt_Arab,4-1
nld_Latn-pus_Arab,4-1
nld_Latn-rmy_Latn,4-1
nld_Latn-sin_Sinh,4-1
nld_Latn-sna_Latn,4-1
nld_Latn-snd_Arab,4-1
nld_Latn-som_Latn,4-1
nld_Latn-sqi_Latn,4-1
nld_Latn-srd_Latn,4-1
nld_Latn-sun_Latn,4-1
nld_Latn-swc_Latn,4-1
nld_Latn-tat_Cyrl,4-1
nld_Latn-tel_Telu,4-1
nld_Latn-tgk_Cyrl,4-1
nld_Latn-vec_Latn,4-1
nld_Latn-wln_Latn,4-1
nld_Latn-wuu_Hani,4-1
nld_Latn-yid_Hebr,4-1
nld_Latn-yue_Hani,4-1
pol_Latn-abk_Cyrl,4-1
pol_Latn-azj_Latn,4-1
pol_Latn-bak_Cyrl,4-1
pol_Latn-crh_Latn,4-1
pol_Latn-epo_Latn,4-1
pol_Latn-fur_Latn,4-1
pol_Latn-hbs_Latn,4-1
pol_Latn-ilo_Latn,4-1
pol_Latn-ina_Latn,4-1
pol_Latn-kab_Latn,4-1
pol_Latn-kin_Latn,4-1
pol_Latn-lzh_Hani,4-1
pol_Latn-mhr_Cyrl,4-1
pol_Latn-mkd_Cyrl,4-1
pol_Latn-nno_Latn,4-1
pol_Latn-nob_Latn,4-1
pol_Latn-pap_Latn,4-1
pol_Latn-pbt_Arab,4-1
pol_Latn-pus_Arab,4-1
pol_Latn-rmy_Latn,4-1
pol_Latn-sin_Sinh,4-1
pol_Latn-sna_Latn,4-1
pol_Latn-snd_Arab,4-1
pol_Latn-som_Latn,4-1
pol_Latn-sqi_Latn,4-1
pol_Latn-srd_Latn,4-1
pol_Latn-sun_Latn,4-1
pol_Latn-swc_Latn,4-1
pol_Latn-tat_Cyrl,4-1
pol_Latn-tel_Telu,4-1
pol_Latn-tgk_Cyrl,4-1
pol_Latn-vec_Latn,4-1
pol_Latn-wln_Latn,4-1
pol_Latn-wuu_Hani,4-1
pol_Latn-yue_Hani,4-1
por_Latn-abk_Cyrl,4-1
por_Latn-aym_Latn,4-1
por_Latn-ayr_Latn,4-1
por_Latn-azj_Latn,4-1
por_Latn-bak_Cyrl,4-1
por_Latn-crh_Latn,4-1
por_Latn-epo_Latn,4-1
por_Latn-fur_Latn,4-1
por_Latn-hbs_Latn,4-1
por_Latn-ilo_Latn,4-1
por_Latn-ina_Latn,4-1
por_Latn-kab_Latn,4-1
por_Latn-kin_Latn,4-1
por_Latn-lzh_Hani,4-1
por_Latn-mhr_Cyrl,4-1
por_Latn-mkd_Cyrl,4-1
por_Latn-nno_Latn,4-1
por_Latn-nob_Latn,4-1
por_Latn-que_Latn,4-1
por_Latn-quy_Latn,4-1
por_Latn-quz_Latn,4-1
por_Latn-rmy_Latn,4-1
por_Latn-sin_Sinh,4-1
por_Latn-sna_Latn,4-1
por_Latn-snd_Arab,4-1
por_Latn-som_Latn,4-1
por_Latn-sqi_Latn,4-1
por_Latn-srd_Latn,4-1
por_Latn-sun_Latn,4-1
por_Latn-swc_Latn,4-1
por_Latn-tat_Cyrl,4-1
por_Latn-tel_Telu,4-1
por_Latn-tgk_Cyrl,4-1
por_Latn-vec_Latn,4-1
por_Latn-wln_Latn,4-1
por_Latn-wuu_Hani,4-1
por_Latn-yue_Hani,4-1
rus_Cyrl-azj_Latn,4-1
rus_Cyrl-crh_Latn,4-1
rus_Cyrl-epo_Latn,4-1
rus_Cyrl-fur_Latn,4-1
rus_Cyrl-hbs_Latn,4-1
rus_Cyrl-kab_Latn,4-1
rus_Cyrl-kin_Latn,4-1
rus_Cyrl-lzh_Hani,4-1
rus_Cyrl-mkd_Cyrl,4-1
rus_Cyrl-nno_Latn,4-1
rus_Cyrl-nob_Latn,4-1
rus_Cyrl-nor_Latn,4-1
rus_Cyrl-sin_Sinh,4-1
rus_Cyrl-sna_Latn,4-1
rus_Cyrl-snd_Arab,4-1
rus_Cyrl-som_Latn,4-1
rus_Cyrl-sqi_Latn,4-1
rus_Cyrl-srd_Latn,4-1
rus_Cyrl-sun_Latn,4-1
rus_Cyrl-swc_Latn,4-1
rus_Cyrl-tat_Cyrl,4-1
rus_Cyrl-tel_Telu,4-1
rus_Cyrl-tgk_Cyrl,4-1
rus_Cyrl-wln_Latn,4-1
rus_Cyrl-wuu_Hani,4-1
rus_Cyrl-yue_Hani,4-1
srp_Cyrl-lzh_Hani,4-1
srp_Cyrl-sun_Latn,4-1
srp_Cyrl-swc_Latn,4-1
srp_Cyrl-tel_Telu,4-1
srp_Cyrl-tgk_Cyrl,4-1
srp_Cyrl-yue_Hani,4-1
srp_Latn-epo_Latn,4-1
srp_Latn-kab_Latn,4-1
srp_Latn-lzh_Hani,4-1
srp_Latn-mal_Mlym,4-1
srp_Latn-mkd_Cyrl,4-1
srp_Latn-nob_Latn,4-1
srp_Latn-nor_Latn,4-1
srp_Latn-sin_Sinh,4-1
srp_Latn-sqi_Latn,4-1
srp_Latn-tel_Telu,4-1
srp_Latn-yue_Hani,4-1
swe_Latn-azj_Latn,4-1
swe_Latn-crh_Latn,4-1
swe_Latn-fur_Latn,4-1
swe_Latn-lzh_Hani,4-1
swe_Latn-nor_Latn,4-1
swe_Latn-srd_Latn,4-1
swe_Latn-swc_Latn,4-1
swe_Latn-tat_Cyrl,4-1
swe_Latn-tel_Telu,4-1
swe_Latn-tgk_Cyrl,4-1
swe_Latn-wln_Latn,4-1
swe_Latn-wuu_Hani,4-1
swe_Latn-yue_Hani,4-1
tur_Latn-lzh_Hani,4-1
tur_Latn-tat_Cyrl,4-1
tur_Latn-wln_Latn,4-1
tur_Latn-wuu_Hani,4-1
tur_Latn-yue_Hani,4-1
vie_Latn-lzh_Hani,4-1
vie_Latn-wln_Latn,4-1
vie_Latn-yue_Hani,4-1
arb_Arab-als_Latn,4-2
arb_Arab-gle_Latn,4-2
arb_Arab-hat_Latn,4-2
arb_Arab-hau_Latn,4-2
arb_Arab-isl_Latn,4-2
arb_Arab-mar_Deva,4-2
arb_Arab-swa_Latn,4-2
arb_Arab-swh_Latn,4-2
arb_Arab-xho_Latn,4-2
arb_Arab-yor_Latn,4-2
arb_Arab-zul_Latn,4-2
cat_Latn-als_Latn,4-2
cat_Latn-gle_Latn,4-2
cat_Latn-hat_Latn,4-2
cat_Latn-hau_Latn,4-2
cat_Latn-isl_Latn,4-2
cat_Latn-lao_Laoo,4-2
cat_Latn-mar_Deva,4-2
cat_Latn-mlt_Latn,4-2
cat_Latn-pan_Guru,4-2
cat_Latn-swa_Latn,4-2
cat_Latn-swh_Latn,4-2
cat_Latn-xho_Latn,4-2
cat_Latn-yor_Latn,4-2
cat_Latn-zul_Latn,4-2
ces_Latn-als_Latn,4-2
ces_Latn-gle_Latn,4-2
ces_Latn-hat_Latn,4-2
ces_Latn-hau_Latn,4-2
ces_Latn-isl_Latn,4-2
ces_Latn-lao_Laoo,4-2
ces_Latn-mar_Deva,4-2
ces_Latn-mlt_Latn,4-2
ces_Latn-pan_Guru,4-2
ces_Latn-swa_Latn,4-2
ces_Latn-swh_Latn,4-2
ces_Latn-wol_Latn,4-2
ces_Latn-xho_Latn,4-2
ces_Latn-yor_Latn,4-2
ces_Latn-zul_Latn,4-2
eus_Latn-als_Latn,4-2
eus_Latn-gle_Latn,4-2
eus_Latn-hau_Latn,4-2
eus_Latn-isl_Latn,4-2
eus_Latn-mar_Deva,4-2
eus_Latn-mlt_Latn,4-2
eus_Latn-pan_Guru,4-2
eus_Latn-swa_Latn,4-2
eus_Latn-swh_Latn,4-2
eus_Latn-xho_Latn,4-2
eus_Latn-zul_Latn,4-2
fas_Arab-als_Latn,4-2
fas_Arab-gle_Latn,4-2
fas_Arab-hat_Latn,4-2
fas_Arab-hau_Latn,4-2
fas_Arab-isl_Latn,4-2
fas_Arab-lao_Laoo,4-2
fas_Arab-mar_Deva,4-2
fas_Arab-mlt_Latn,4-2
fas_Arab-pan_Guru,4-2
fas_Arab-swa_Latn,4-2
fas_Arab-swh_Latn,4-2
fas_Arab-xho_Latn,4-2
fas_Arab-yor_Latn,4-2
fas_Arab-zul_Latn,4-2
fin_Latn-als_Latn,4-2
fin_Latn-gle_Latn,4-2
fin_Latn-hat_Latn,4-2
fin_Latn-hau_Latn,4-2
fin_Latn-isl_Latn,4-2
fin_Latn-lao_Laoo,4-2
fin_Latn-mar_Deva,4-2
fin_Latn-mlt_Latn,4-2
fin_Latn-pan_Guru,4-2
fin_Latn-swa_Latn,4-2
fin_Latn-swh_Latn,4-2
fin_Latn-wol_Latn,4-2
fin_Latn-xho_Latn,4-2
fin_Latn-yor_Latn,4-2
fin_Latn-zul_Latn,4-2
hin_Deva-als_Latn,4-2
hin_Deva-hat_Latn,4-2
hin_Deva-isl_Latn,4-2
hin_Deva-lao_Laoo,4-2
hin_Deva-mar_Deva,4-2
hin_Deva-mlt_Latn,4-2
hin_Deva-pan_Guru,4-2
hin_Deva-san_Deva,4-2
hin_Deva-swa_Latn,4-2
hin_Deva-swh_Latn,4-2
hin_Deva-xho_Latn,4-2
hin_Deva-yor_Latn,4-2
hin_Deva-zul_Latn,4-2
hrv_Latn-als_Latn,4-2
hrv_Latn-hat_Latn,4-2
hrv_Latn-isl_Latn,4-2
hrv_Latn-lao_Laoo,4-2
hrv_Latn-mar_Deva,4-2
hrv_Latn-mlt_Latn,4-2
hrv_Latn-pan_Guru,4-2
hrv_Latn-swa_Latn,4-2
hrv_Latn-swh_Latn,4-2
hrv_Latn-xho_Latn,4-2
hrv_Latn-yor_Latn,4-2
hrv_Latn-zul_Latn,4-2
hun_Latn-als_Latn,4-2
hun_Latn-hau_Latn,4-2
hun_Latn-isl_Latn,4-2
hun_Latn-lao_Laoo,4-2
hun_Latn-mar_Deva,4-2
hun_Latn-mlt_Latn,4-2
hun_Latn-pan_Guru,4-2
hun_Latn-swa_Latn,4-2
hun_Latn-swh_Latn,4-2
hun_Latn-xho_Latn,4-2
hun_Latn-yor_Latn,4-2
hun_Latn-zul_Latn,4-2
ita_Latn-als_Latn,4-2
ita_Latn-hau_Latn,4-2
ita_Latn-isl_Latn,4-2
ita_Latn-lao_Laoo,4-2
ita_Latn-mar_Deva,4-2
ita_Latn-mlt_Latn,4-2
ita_Latn-pan_Guru,4-2
ita_Latn-swa_Latn,4-2
ita_Latn-swh_Latn,4-2
ita_Latn-xho_Latn,4-2
ita_Latn-yor_Latn,4-2
ita_Latn-zul_Latn,4-2
kor_Hang-als_Latn,4-2
kor_Hang-mar_Deva,4-2
kor_Hang-mlt_Latn,4-2
kor_Hang-pan_Guru,4-2
kor_Hang-swa_Latn,4-2
kor_Hang-swh_Latn,4-2
kor_Hang-xho_Latn,4-2
kor_Hang-yor_Latn,4-2
nld_Latn-als_Latn,4-2
nld_Latn-hau_Latn,4-2
nld_Latn-isl_Latn,4-2
nld_Latn-mlt_Latn,4-2
nld_Latn-pan_Guru,4-2
nld_Latn-swa_Latn,4-2
nld_Latn-swh_Latn,4-2
nld_Latn-xho_Latn,4-2
nld_Latn-yor_Latn,4-2
nld_Latn-zul_Latn,4-2
pol_Latn-als_Latn,4-2
pol_Latn-hau_Latn,4-2
pol_Latn-swa_Latn,4-2
pol_Latn-swh_Latn,4-2
pol_Latn-xho_Latn,4-2
pol_Latn-yor_Latn,4-2
pol_Latn-zul_Latn,4-2
por_Latn-als_Latn,4-2
por_Latn-hau_Latn,4-2
por_Latn-mlt_Latn,4-2
por_Latn-swa_Latn,4-2
por_Latn-swh_Latn,4-2
por_Latn-xho_Latn,4-2
por_Latn-yor_Latn,4-2
por_Latn-zul_Latn,4-2
rus_Cyrl-als_Latn,4-2
rus_Cyrl-mlt_Latn,4-2
rus_Cyrl-swa_Latn,4-2
rus_Cyrl-swh_Latn,4-2
rus_Cyrl-xho_Latn,4-2
rus_Cyrl-yor_Latn,4-2
rus_Cyrl-zul_Latn,4-2
srp_Cyrl-swa_Latn,4-2
srp_Cyrl-swh_Latn,4-2
srp_Cyrl-xho_Latn,4-2
srp_Cyrl-yor_Latn,4-2
srp_Cyrl-zul_Latn,4-2
srp_Latn-als_Latn,4-2
srp_Latn-isl_Latn,4-2
srp_Latn-swa_Latn,4-2
srp_Latn-swh_Latn,4-2
swe_Latn-swa_Latn,4-2
swe_Latn-swh_Latn,4-2
swe_Latn-xho_Latn,4-2
swe_Latn-yor_Latn,4-2
swe_Latn-zul_Latn,4-2
tur_Latn-xho_Latn,4-2
tur_Latn-yor_Latn,4-2
tur_Latn-zul_Latn,4-2
vie_Latn-xho_Latn,4-2
vie_Latn-yor_Latn,4-2
vie_Latn-zul_Latn,4-2
arb_Arab-afr_Latn,4-3
arb_Arab-bel_Cyrl,4-3
arb_Arab-ben_Beng,4-3
arb_Arab-bos_Latn,4-3
arb_Arab-bul_Cyrl,4-3
arb_Arab-dan_Latn,4-3
arb_Arab-ekk_Latn,4-3
arb_Arab-ell_Grek,4-3
arb_Arab-est_Latn,4-3
arb_Arab-fil_Latn,4-3
arb_Arab-glg_Latn,4-3
arb_Arab-heb_Hebr,4-3
arb_Arab-ind_Latn,4-3
arb_Arab-kat_Geor,4-3
arb_Arab-kaz_Cyrl,4-3
arb_Arab-lat_Latn,4-3
arb_Arab-lav_Latn,4-3
arb_Arab-lit_Latn,4-3
arb_Arab-lvs_Latn,4-3
arb_Arab-msa_Latn,4-3
arb_Arab-ron_Latn,4-3
arb_Arab-slk_Latn,4-3
arb_Arab-slv_Latn,4-3
arb_Arab-tam_Taml,4-3
arb_Arab-tgl_Latn,4-3
arb_Arab-tha_Thai,4-3
arb_Arab-ukr_Cyrl,4-3
arb_Arab-urd_Arab,4-3
arb_Arab-uzb_Cyrl,4-3
arb_Arab-uzb_Latn,4-3
arb_Arab-uzn_Latn,4-3
arb_Arab-zsm_Latn,4-3
cat_Latn-ceb_Latn,4-3
cat_Latn-dan_Latn,4-3
cat_Latn-ekk_Latn,4-3
cat_Latn-ell_Grek,4-3
cat_Latn-est_Latn,4-3
cat_Latn-fil_Latn,4-3
cat_Latn-glg_Latn,4-3
cat_Latn-heb_Hebr,4-3
cat_Latn-ind_Latn,4-3
cat_Latn-kat_Geor,4-3
cat_Latn-kaz_Cyrl,4-3
cat_Latn-lat_Latn,4-3
cat_Latn-lav_Latn,4-3
cat_Latn-lit_Latn,4-3
cat_Latn-lvs_Latn,4-3
cat_Latn-msa_Latn,4-3
cat_Latn-ron_Latn,4-3
cat_Latn-slk_Latn,4-3
cat_Latn-slv_Latn,4-3
cat_Latn-tam_Taml,4-3
cat_Latn-tgl_Latn,4-3
cat_Latn-tha_Thai,4-3
cat_Latn-ukr_Cyrl,4-3
cat_Latn-urd_Arab,4-3
cat_Latn-uzn_Latn,4-3
cat_Latn-zsm_Latn,4-3
ces_Latn-afr_Latn,4-3
ces_Latn-bel_Cyrl,4-3
ces_Latn-dan_Latn,4-3
ces_Latn-ekk_Latn,4-3
ces_Latn-ell_Grek,4-3
ces_Latn-est_Latn,4-3
ces_Latn-fil_Latn,4-3
ces_Latn-glg_Latn,4-3
ces_Latn-heb_Hebr,4-3
ces_Latn-ind_Latn,4-3
ces_Latn-kat_Geor,4-3
ces_Latn-kaz_Cyrl,4-3
ces_Latn-lat_Latn,4-3
ces_Latn-lav_Latn,4-3
ces_Latn-lit_Latn,4-3
ces_Latn-lvs_Latn,4-3
ces_Latn-msa_Latn,4-3
ces_Latn-ron_Latn,4-3
ces_Latn-slk_Latn,4-3
ces_Latn-slv_Latn,4-3
ces_Latn-tam_Taml,4-3
ces_Latn-tgl_Latn,4-3
ces_Latn-tha_Thai,4-3
ces_Latn-ukr_Cyrl,4-3
ces_Latn-urd_Arab,4-3
ces_Latn-uzn_Latn,4-3
ces_Latn-zsm_Latn,4-3
eus_Latn-dan_Latn,4-3
eus_Latn-ell_Grek,4-3
eus_Latn-est_Latn,4-3
eus_Latn-fil_Latn,4-3
eus_Latn-glg_Latn,4-3
eus_Latn-heb_Hebr,4-3
eus_Latn-ind_Latn,4-3
eus_Latn-kat_Geor,4-3
eus_Latn-kaz_Cyrl,4-3
eus_Latn-lat_Latn,4-3
eus_Latn-lav_Latn,4-3
eus_Latn-lit_Latn,4-3
eus_Latn-lvs_Latn,4-3
eus_Latn-msa_Latn,4-3
eus_Latn-ron_Latn,4-3
eus_Latn-slk_Latn,4-3
eus_Latn-slv_Latn,4-3
eus_Latn-tam_Taml,4-3
eus_Latn-tgl_Latn,4-3
eus_Latn-tha_Thai,4-3
eus_Latn-ukr_Cyrl,4-3
eus_Latn-urd_Arab,4-3
eus_Latn-uzn_Latn,4-3
eus_Latn-zsm_Latn,4-3
fas_Arab-afr_Latn,4-3
fas_Arab-bul_Cyrl,4-3
fas_Arab-dan_Latn,4-3
fas_Arab-fil_Latn,4-3
fas_Arab-glg_Latn,4-3
fas_Arab-heb_Hebr,4-3
fas_Arab-ind_Latn,4-3
fas_Arab-kat_Geor,4-3
fas_Arab-kaz_Cyrl,4-3
fas_Arab-lat_Latn,4-3
fas_Arab-lav_Latn,4-3
fas_Arab-lit_Latn,4-3
fas_Arab-lvs_Latn,4-3
fas_Arab-msa_Latn,4-3
fas_Arab-ron_Latn,4-3
fas_Arab-slk_Latn,4-3
fas_Arab-slv_Latn,4-3
fas_Arab-tam_Taml,4-3
fas_Arab-tgl_Latn,4-3
fas_Arab-tha_Thai,4-3
fas_Arab-ukr_Cyrl,4-3
fas_Arab-urd_Arab,4-3
fas_Arab-uzb_Cyrl,4-3
fas_Arab-uzb_Latn,4-3
fas_Arab-uzn_Cyrl,4-3
fas_Arab-uzn_Latn,4-3
fas_Arab-zsm_Latn,4-3
fin_Latn-afr_Latn,4-3
fin_Latn-bel_Cyrl,4-3
fin_Latn-dan_Latn,4-3
fin_Latn-ekk_Latn,4-3
fin_Latn-fil_Latn,4-3
fin_Latn-glg_Latn,4-3
fin_Latn-heb_Hebr,4-3
fin_Latn-ind_Latn,4-3
fin_Latn-kat_Geor,4-3
fin_Latn-kaz_Cyrl,4-3
fin_Latn-lat_Latn,4-3
fin_Latn-lav_Latn,4-3
fin_Latn-lit_Latn,4-3
fin_Latn-lvs_Latn,4-3
fin_Latn-msa_Latn,4-3
fin_Latn-ron_Latn,4-3
fin_Latn-slk_Latn,4-3
fin_Latn-slv_Latn,4-3
fin_Latn-tam_Taml,4-3
fin_Latn-tgl_Latn,4-3
fin_Latn-tha_Thai,4-3
fin_Latn-ukr_Cyrl,4-3
fin_Latn-urd_Arab,4-3
fin_Latn-uzn_Latn,4-3
fin_Latn-zsm_Latn,4-3
hin_Deva-dan_Latn,4-3
hin_Deva-fil_Latn,4-3
hin_Deva-ind_Latn,4-3
hin_Deva-kat_Geor,4-3
hin_Deva-kaz_Cyrl,4-3
hin_Deva-lat_Latn,4-3
hin_Deva-lav_Latn,4-3
hin_Deva-lit_Latn,4-3
hin_Deva-lvs_Latn,4-3
hin_Deva-msa_Latn,4-3
hin_Deva-ron_Latn,4-3
hin_Deva-slk_Latn,4-3
hin_Deva-slv_Latn,4-3
hin_Deva-tam_Taml,4-3
hin_Deva-tgl_Latn,4-3
hin_Deva-tha_Thai,4-3
hin_Deva-ukr_Cyrl,4-3
hin_Deva-urd_Arab,4-3
hin_Deva-uzn_Latn,4-3
hin_Deva-zsm_Latn,4-3
hrv_Latn-afr_Latn,4-3
hrv_Latn-bel_Cyrl,4-3
hrv_Latn-dan_Latn,4-3
hrv_Latn-ekk_Latn,4-3
hrv_Latn-ell_Grek,4-3
hrv_Latn-est_Latn,4-3
hrv_Latn-fil_Latn,4-3
hrv_Latn-glg_Latn,4-3
hrv_Latn-heb_Hebr,4-3
hrv_Latn-ind_Latn,4-3
hrv_Latn-kat_Geor,4-3
hrv_Latn-kaz_Cyrl,4-3
hrv_Latn-lat_Latn,4-3
hrv_Latn-lav_Latn,4-3
hrv_Latn-lit_Latn,4-3
hrv_Latn-lvs_Latn,4-3
hrv_Latn-msa_Latn,4-3
hrv_Latn-ron_Latn,4-3
hrv_Latn-slk_Latn,4-3
hrv_Latn-slv_Latn,4-3
hrv_Latn-tam_Taml,4-3
hrv_Latn-tgl_Latn,4-3
hrv_Latn-tha_Thai,4-3
hrv_Latn-ukr_Cyrl,4-3
hrv_Latn-urd_Arab,4-3
hrv_Latn-uzn_Latn,4-3
hrv_Latn-zsm_Latn,4-3
hun_Latn-afr_Latn,4-3
hun_Latn-bel_Cyrl,4-3
hun_Latn-dan_Latn,4-3
hun_Latn-fil_Latn,4-3
hun_Latn-ind_Latn,4-3
hun_Latn-kat_Geor,4-3
hun_Latn-kaz_Cyrl,4-3
hun_Latn-lat_Latn,4-3
hun_Latn-lav_Latn,4-3
hun_Latn-lit_Latn,4-3
hun_Latn-lvs_Latn,4-3
hun_Latn-msa_Latn,4-3
hun_Latn-ron_Latn,4-3
hun_Latn-slk_Latn,4-3
hun_Latn-slv_Latn,4-3
hun_Latn-tam_Taml,4-3
hun_Latn-tgl_Latn,4-3
hun_Latn-tha_Thai,4-3
hun_Latn-ukr_Cyrl,4-3
hun_Latn-urd_Arab,4-3
hun_Latn-uzn_Latn,4-3
hun_Latn-zsm_Latn,4-3
ita_Latn-afr_Latn,4-3
ita_Latn-bel_Cyrl,4-3
ita_Latn-dan_Latn,4-3
ita_Latn-ell_Grek,4-3
ita_Latn-fil_Latn,4-3
ita_Latn-glg_Latn,4-3
ita_Latn-heb_Hebr,4-3
ita_Latn-ind_Latn,4-3
ita_Latn-kat_Geor,4-3
ita_Latn-kaz_Cyrl,4-3
ita_Latn-lat_Latn,4-3
ita_Latn-lav_Latn,4-3
ita_Latn-lit_Latn,4-3
ita_Latn-lvs_Latn,4-3
ita_Latn-msa_Latn,4-3
ita_Latn-ron_Latn,4-3
ita_Latn-slk_Latn,4-3
ita_Latn-slv_Latn,4-3
ita_Latn-tam_Taml,4-3
ita_Latn-tgl_Latn,4-3
ita_Latn-tha_Thai,4-3
